Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Chrysococcyx basalis,Willemen et al. (2015),LC,Aves,24.3,0.2959644070891698,-0.17024907711774356
Chrysococcyx caprius,Willemen et al. (2015),LC,Aves,35.9,0.5199478479410599,0.053719308573904445
Chrysococcyx cupreus,Willemen et al. (2015),LC,Aves,36.7,-0.2835903513873574,-0.7498199290414261
Chrysococcyx flavigularis,Willemen et al. (2015),LC,Aves,30,-1.4992967161074209,-1.9655175981085915
Chrysococcyx klaas,Willemen et al. (2015),LC,Aves,30.2,0.416589878232256,-0.04963126334064256
Chrysococcyx lucidus,Willemen et al. (2015),LC,Aves,24.5,0.42210533945686707,-0.044108404321774534
Chrysococcyx minutillus,Willemen et al. (2015),LC,Aves,16.5,0.5110894984594085,0.04488613754989947
Chrysococcyx osculans,Willemen et al. (2015),LC,Aves,32.2,-0.4896744340831805,-0.9558981713733622
Chrysococcyx russatus,Willemen et al. (2015),LC,Aves,18.8,-1.0175844661150866,-1.4837908120994716
Chrysocyon brachyurus,Willemen et al. (2015),NT,Mammalia,23249.8,1.5334987381011458,1.9458059568245305
Chrysopelea pelias,Willemen et al. (2015),LC,Reptilia,54.573189421252955,0.14988943362945287,0.487279194640592
Chrysuronia oenone,Willemen et al. (2015),LC,Aves,4.8,0.6515357247138069,0.1853475487504042
Chthonicola sagittatus,Willemen et al. (2015),LC,Aves,12.9,-0.0707080955256441,-0.5369067841440438
Cichladusa arquata,Willemen et al. (2015),LC,Aves,33.1,-0.4896744340831805,-0.9558993394461395
Cichladusa guttata,Willemen et al. (2015),LC,Aves,21.9,0.09568800381330494,-0.37052236553286855
Cichladusa ruficauda,Willemen et al. (2015),LC,Aves,30,-0.7136578749350705,-1.1798787569362403
Cicinnurus regius,Willemen et al. (2015),LC,Aves,46.9,0.2734736626256236,-0.1927691531865889
Ciconia ciconia,Willemen et al. (2015),LC,Aves,3150,2.0940179771807395,1.6237477762178927
Cincloramphus cruralis,Willemen et al. (2015),LC,Aves,32.4,-0.1857478429031646,-0.6519718397650747
Cinclosoma castaneothorax,Willemen et al. (2015),LC,Aves,58.7,-0.5875169425673733,-1.0537750731115565
Cinclosoma cinnamomeum,Willemen et al. (2015),LC,Aves,56.7,-0.8914435337473892,-1.3576990685742893
Cinclosoma punctatum,Willemen et al. (2015),LC,Aves,106.9,-0.37463468670566,-0.8409553740363664
Cinclus cinclus,Willemen et al. (2015),LC,Aves,57.4,1.3598221077971298,0.8935656644691805
Cinclus leucocephalus,Willemen et al. (2015),LC,Aves,37,0.4110041544666903,-0.0552258125449708
Cinclus mexicanus,Willemen et al. (2015),LC,Aves,53.6,1.3099496443733214,0.8436981329082099
Cinnyricinclus leucogaster,Willemen et al. (2015),LC,Aves,44.7,0.6977335067533785,0.23149354623017737
Cinnyricinclus sharpii,Willemen et al. (2015),LC,Aves,47,-1.4992967161074209,-1.9655396617054974
Circaetus gallicus,Willemen et al. (2015),LC,Aves,1735,1.5278127192524031,1.0593789882673679
Circus aeruginosus,Willemen et al. (2015),LC,Aves,669,2.0000312639056825,1.5329810502325538
Circus approximans,Willemen et al. (2015),LC,Aves,870,0.747425119118368,0.280114035858285
Circus assimilis,Willemen et al. (2015),LC,Aves,671,0.5243108032009712,0.057257993810559085
Circus cyaneus,Willemen et al. (2015),LC,Aves,527,2.149531828116189,1.6826659103701624
Circus macrourus,Willemen et al. (2015),NT,Aves,445,0.8368351872227695,0.4488142560036088
Circus pygargus,Willemen et al. (2015),LC,Aves,345,1.4755071435705698,1.0088774360973072
Cisticola aberrans,Willemen et al. (2015),LC,Aves,13.7,-0.3421403132339983,-0.808340040139311
Cisticola anonymus,Willemen et al. (2015),LC,Aves,12.5,-1.0175844661150866,-1.4837826355900297
Cisticola aridulus,Willemen et al. (2015),LC,Aves,10.2,-0.44788345683462255,-0.91407864123469
